,job_titles,companies,company_ratings,locations,post_dates,Salary,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Machine Learning,Data Mining/Analytics,Visualisation,Big Data,AWS Cloud,Jason,xml,Azure,Google Cloud,IBM,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,project_management,leadership,consulting
0,Data Scientist,Geotab,,"Oakville, ON, Canada",Feb 17,,0,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Data Scientist II,TD Bank,,"Toronto, ON, Canada",Mar 03,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
2,Geospatial Scientist,TD Bank,,"Montreal, QC, Canada",Mar 05,,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
3,Data Scientist,emergiTEL,,"Toronto, ON, Canada",Mar 04,,0,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
4,Data Scientist,Construction AI,,"Overbrook, ON, K1G 3H5, Canada",Mar 04,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Data Scientist,Vaco,,"Toronto, ON, Canada",Mar 03,,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Data Scientist,Wish,,"Entertainment District, ON, M5J 2H5, Canada",Mar 05,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Data Scientist,Grant Thornton LLP,,"Toronto, ON, Canada",Mar 01,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Data Scientist,Torstar Corporation,,"Toronto, ON, Canada",Feb 28,,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
9,Data Scientist,Léger,,"Montreal, QC, Canada",Feb 12,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Data Scientist,Wysdom.AI,,"Bayview Hills, ON, L4S 1P3, Canada",Feb 23,,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11,Data Scientist,Manifest Climate,,"Toronto, ON, Canada",Feb 11,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
12,Data Scientist,Etraveli,,"Entertainment District, ON, M5J 2H5, Canada",Feb 23,,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
13,Data Scientist,Manifest Climate,,"Entertainment District, ON, M5J 2H5, Canada",Feb 23,,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0
14,Junior Data Scientist,Vessi,,"Vancouver, BC, V6M 3G7, Canada",Feb 28,,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
15,Data Scientist (remote),Ample Insight,,"Toronto, ON, M9M 2J8, Canada",Mar 03,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
16,Data Scientist - 中国市场 (remote),Ample Insight,,"Toronto, ON, M9M 2J8, Canada",Mar 07,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
17,Lead Data Scientist,Stafflink Solutions IT Staffing Company,,"Toronto, ON, Canada",Feb 27,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0
18,Data Scientist (SPM),"Canadian Bank Note Company, Limited",,"Ottawa, ON, Canada",Feb 19,,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
19,Senior Data Scientist,Lixar Fueled by BDO,,Canada,Feb 20,,1,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
20,Data Scientist (Natural Language Processing),owl.co,,"Entertainment District, ON, M5J 2H5, Canada",Mar 04,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
21,Data Scientist - Member Experience,Nextdoor,,"Toronto, ON, M4L 2J3, Canada",Feb 25,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
22,Data Scientist / Engineer,LotusFlare,,"Entertainment District, ON, M5J 2H5, Canada",Feb 23,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,Data Scientist (remote),Ample Insight,,"Toronto, ON, M9M 2J8, Canada",Feb 23,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,Data Scientist 2,Zynga,,"Toronto, ON, Canada",Feb 24,,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Senior Data Scientist,Harnham,,"Vancouver, BC, V6M 3G7, Canada",Feb 13,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,Senior Data Scientist,Harnham,,"Victoria, BC, V8T 5H5, Canada",Feb 13,,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
27,Environmental Scientist,"Gannett Fleming, Inc.",,"Toronto, ON, Canada",Feb 07,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1
28,Geo-Environmental Scientist,Morrison Hershfield,,"Markham, ON, Canada",Feb 08,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
29,Applied Scientist (Remote),Yelp,,"Vancouver, BC, Canada",Mar 01,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Data Scientist,Nakisa,,"Montreal, QC, Canada",Feb 11,,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
31,"Staff Environmental Scientist, Water Resources (Entry Level)",ERM,,"Calgary, AB, Canada",Mar 05,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
