,job_titles,companies,company_ratings,locations,post_dates,Salary,Excel,Python,R,Java,Scala,C/C++,MATLAB,SAS,SQL/databases,Oracle,SPSS,Machine Learning,Data Mining/Analytics,Visualisation,Big Data,AWS Cloud,Jason,xml,Azure,Google Cloud,IBM,Operations research,DevOps,Git,presentation,management,agile,SDLC,decision making,problem solving,project_management,leadership,consulting
0,Senior Data Scientist,MaxSold,3.6,,8 days ago,,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,"Data Scientist, Solar & Storage (Remote)",Power Factors,,,30+ days ago,,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
2,Data Scientist,Charger Logistics Inc.,3.6,,3 days ago,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Junior Data Scientist with Python experience,Samiti Technology,,"Toronto, ON",Today,$250 - $350 a day,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Data Scientist,CakeAI,,"Toronto, ON",Today,,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5,Staff Data Scientist - Interests,Twitter,4.1,"Toronto, ON",Just posted,,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Data Scientist,Canadian National Railway,3.2,,22 days ago,,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
7,"Data Scientist, Remote",Infostrux Solutions,,"Quebec City, QC",16 days ago,,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Data Scientist,Cardinal Path,,"Toronto, ON",Just posted,,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1
9,Data Scientist,EnPowered,,"Kitchener, ON",14 days ago,,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
10,Data Scientist,Bayer,4.2,"Mississauga, ON",Today,,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,Data Scientist,Aviva,3.9,"Markham, ON",1 day ago,,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
12,Data Scientist/Bioinformatician,SickKids,4.2,"Toronto, ON",1 day ago,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Data Scientist,Robert Half,3.9,,10 days ago,"$65,000 - $75,000 a year",1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Data Scientist Assistant – Business (6 month minimum),Ubisoft,3.9,"Montréal, QC",2 days ago,,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
15,Data Scientist Assistant – Business (6 month minimum),Ubisoft,3.9,"Montréal, QC",2 days ago,,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
16,Data Scientist,Robert Half,3.9,,10 days ago,"$65,000 - $75,000 a year",1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
